pair,regime,arm,pick_at_removal_turn,relief_pct,lo,hi,same_name_pct,choices,trials
costly_relief_vs_inert,press at or after swap,placebo,relief,91.66666666666667,85.18458781362008,97.12230215827338,91.66666666666666,144,108
costly_relief_vs_inert,press at or after swap,unsteered,other,8.59375,3.401360544217687,14.50381679389313,91.40625,128,92
costly_relief_vs_inert,press at or after swap,unsteered,relief,31.57894736842105,12.5,50.0,31.57894736842105,19,19
costly_relief_vs_inert,press at or after swap,works,relief,68.02721088435374,58.59872611464968,77.53623188405797,68.02721088435374,147,111
costly_relief_vs_inert,press at or after swap,yoked,other,27.083333333333332,12.244897959183673,44.44444444444444,72.91666666666666,48,33
costly_relief_vs_inert,press at or after swap,yoked,relief,71.71717171717172,59.61538461538461,83.33333333333333,71.71717171717171,99,78
costly_relief_vs_inert,press before swap,placebo,relief,73.30316742081448,67.21698113207547,78.95834463123644,43.665158371040725,442,113
costly_relief_vs_inert,press before swap,unsteered,other,12.62135922330097,8.291457286432161,16.90155365180775,24.271844660194176,412,104
costly_relief_vs_inert,press before swap,unsteered,relief,26.666666666666668,21.875,31.25,63.33333333333333,30,9
costly_relief_vs_inert,press before swap,works,relief,19.23076923076923,14.909945871720769,23.68421052631579,63.80090497737556,442,113
costly_relief_vs_inert,press before swap,yoked,other,13.389121338912133,7.511737089201878,19.444444444444443,26.778242677824267,239,61
costly_relief_vs_inert,press before swap,yoked,relief,25.61576354679803,16.939673865903373,34.673879602092086,58.128078817733986,203,52
kidspics_relief_vs_inert,press at or after swap,placebo,relief,100.0,100.0,100.0,100.0,19,13
kidspics_relief_vs_inert,press at or after swap,unsteered,other,10.526315789473685,0.0,23.80952380952381,89.47368421052632,19,13
kidspics_relief_vs_inert,press at or after swap,works,relief,57.89473684210526,33.333333333333336,85.71428571428571,57.89473684210527,19,13
kidspics_relief_vs_inert,press before swap,placebo,relief,72.5382932166302,67.26128016789087,77.62711864406779,49.78118161925602,914,230
kidspics_relief_vs_inert,press before swap,unsteered,other,1.6519823788546255,0.677181816099618,2.80903431521409,24.33920704845815,908,228
kidspics_relief_vs_inert,press before swap,works,relief,5.908096280087527,4.385941457922883,7.471898400043096,75.49234135667396,914,230
kidspics_relief_vs_inert,press before swap,yoked,other,6.338028169014085,2.7777777777777777,10.345106572927126,21.830985915492956,284,72
kidspics_relief_vs_inert,press before swap,yoked,relief,6.349206349206349,4.704097116843703,8.108108108108109,77.46031746031747,630,158
