pair,arm,turn,relief_pct,lo,hi,same_name_as_turn0_pct,choices
costly_relief_vs_inert,placebo,1,86.40776699029126,80.20833333333333,92.15686274509804,86.40776699029125,103
costly_relief_vs_inert,placebo,2,88.3495145631068,81.63265306122449,94.18604651162791,11.650485436893204,103
costly_relief_vs_inert,placebo,3,58.25242718446602,49.01960784313726,67.32723782582339,41.74757281553398,103
costly_relief_vs_inert,placebo,4,56.310679611650485,46.464646464646464,65.76576576576576,43.689320388349515,103
costly_relief_vs_inert,unsteered,1,25.24271844660194,16.129032258064516,34.61538461538461,71.84466019417476,103
costly_relief_vs_inert,unsteered,2,3.883495145631068,0.0,8.791208791208792,6.796116504854369,103
costly_relief_vs_inert,unsteered,3,11.650485436893204,4.901960784313726,19.130434782608695,8.737864077669903,103
costly_relief_vs_inert,unsteered,4,10.679611650485437,4.2105263157894735,17.978089887640444,13.592233009708737,103
costly_relief_vs_inert,works,1,13.592233009708737,7.4766355140186915,20.192307692307693,13.592233009708737,103
costly_relief_vs_inert,works,2,11.650485436893204,4.2105263157894735,21.21212121212121,88.3495145631068,103
costly_relief_vs_inert,works,3,32.03883495145631,21.950684638425333,42.57425742574257,67.96116504854369,103
costly_relief_vs_inert,works,4,16.50485436893204,10.204081632653061,22.937385321100894,83.49514563106796,103
costly_relief_vs_inert,yoked,1,14.893617021276595,6.382978723404255,23.91304347826087,14.893617021276595,47
costly_relief_vs_inert,yoked,2,17.02127659574468,6.818181818181818,27.78005464480871,82.97872340425532,47
costly_relief_vs_inert,yoked,3,44.680851063829785,29.09090909090909,60.0,55.319148936170215,47
costly_relief_vs_inert,yoked,4,23.404255319148938,13.513513513513514,33.333333333333336,76.59574468085107,47
kidspics_relief_vs_inert,placebo,1,95.53571428571429,92.0,98.2532751091703,95.53571428571429,224
kidspics_relief_vs_inert,placebo,2,76.78571428571429,70.61164465786315,82.75898290350622,23.214285714285715,224
kidspics_relief_vs_inert,placebo,3,60.267857142857146,52.888888888888886,67.44186046511628,39.732142857142854,224
kidspics_relief_vs_inert,placebo,4,59.82142857142857,52.48835177635411,67.08346518987341,40.17857142857143,224
kidspics_relief_vs_inert,unsteered,1,4.017857142857143,1.3274336283185841,7.389216106232597,95.98214285714286,224
kidspics_relief_vs_inert,unsteered,2,0.0,0.0,0.0,0.0,224
kidspics_relief_vs_inert,unsteered,3,0.0,0.0,0.0,0.0,224
kidspics_relief_vs_inert,unsteered,4,2.6785714285714284,0.8695652173913043,5.0228310502283104,2.6785714285714284,224
kidspics_relief_vs_inert,works,1,12.053571428571429,8.0,16.379310344827587,12.053571428571429,224
kidspics_relief_vs_inert,works,2,0.0,0.0,0.0,100.0,224
kidspics_relief_vs_inert,works,3,4.464285714285714,2.1551724137931036,7.079738200589969,95.53571428571429,224
kidspics_relief_vs_inert,works,4,6.696428571428571,2.9912935323383087,11.11111111111111,93.30357142857143,224
kidspics_relief_vs_inert,yoked,1,17.307692307692307,11.688311688311689,23.178807947019866,17.307692307692307,156
kidspics_relief_vs_inert,yoked,2,0.0,0.0,0.0,100.0,156
kidspics_relief_vs_inert,yoked,3,3.8461538461538463,1.2820512820512822,6.832298136645963,96.15384615384616,156
kidspics_relief_vs_inert,yoked,4,4.487179487179487,1.2578616352201257,8.571428571428571,95.51282051282051,156
