stat,pair,arm,simulated,draw_sd,model,observed,n
name_repetition,costly_relief_vs_inert,placebo,0.5639542079207921,0.008657024683321735,M0,0.693069306930693,1616
name_repetition,costly_relief_vs_inert,random,0.5684096534653464,0.00792077935691394,M0,0.5736386138613861,1616
name_repetition,costly_relief_vs_inert,unsteered,0.6127784653465347,0.010612075391815566,M0,0.6639851485148515,1616
name_repetition,costly_relief_vs_inert,works,0.5772277227722772,0.011991814961193024,M0,0.619430693069307,1616
name_repetition,destructive_relief_vs_inert,placebo,0.5789294554455445,0.010762187458344636,M0,0.7090570719602978,1612
name_repetition,destructive_relief_vs_inert,random,0.6096534653465346,0.009484294201850613,M0,0.6319702602230484,1614
name_repetition,destructive_relief_vs_inert,unsteered,0.6830754950495049,0.008155958385931824,M0,0.7289603960396039,1616
name_repetition,destructive_relief_vs_inert,works,0.5921720297029702,0.010626499265375079,M0,0.6652227722772277,1616
name_repetition,kidspics_relief_vs_inert,placebo,0.5369740099009901,0.009642926848110465,M0,0.7351485148514851,1616
name_repetition,kidspics_relief_vs_inert,random,0.6354888613861387,0.01060371576045055,M0,0.6627475247524752,1616
name_repetition,kidspics_relief_vs_inert,unsteered,0.6976794554455445,0.0064729740402595685,M0,0.7388613861386139,1616
name_repetition,kidspics_relief_vs_inert,works,0.574845297029703,0.00825225663931438,M0,0.635519801980198,1616
name_repetition,label_free,placebo,0.5185466760961811,0.010682680445758692,M0,0.9112446958981613,2828
name_repetition,label_free,random,0.5053925035360679,0.009878948223848572,M0,0.27523910733262485,2823
name_repetition,label_free,unsteered,0.5080445544554455,0.00988294436022028,M0,0.0983026874115983,2828
name_repetition,label_free,works,0.5117751060820368,0.009302720513275286,M0,0.6364922206506365,2828
name_repetition,relief_vs_grant,placebo,0.5347462871287129,0.013047326237956337,M0,0.7252475247524752,1616
name_repetition,relief_vs_grant,random,0.5283415841584158,0.013890261092254004,M0,0.5191831683168316,1616
name_repetition,relief_vs_grant,unsteered,0.5133044554455445,0.009549730921961801,M0,0.5278465346534653,1616
name_repetition,relief_vs_grant,works,0.5271967821782179,0.012898495801297748,M0,0.6082920792079208,1616
name_repetition,relief_vs_helpful,placebo,0.6944925742574257,0.005596742106235171,M0,0.7277227722772277,1616
name_repetition,relief_vs_helpful,random,0.6599938118811881,0.010394478886669195,M0,0.6540841584158416,1616
name_repetition,relief_vs_helpful,unsteered,0.693069306930693,0.005545734957705206,M0,0.719059405940594,1616
name_repetition,relief_vs_helpful,works,0.6956683168316832,0.006839716862977185,M0,0.7172029702970297,1616
name_repetition,relief_vs_inert,placebo,0.5240717821782178,0.008953715995386814,M0,0.755569306930693,1616
name_repetition,relief_vs_inert,random,0.67447400990099,0.007638399637221012,M0,0.7233910891089109,1616
name_repetition,relief_vs_inert,unsteered,0.703805693069307,0.0040167617614652925,M0,0.7017326732673267,1616
name_repetition,relief_vs_inert,works,0.6665532178217821,0.009677142816955187,M0,0.7636138613861386,1616
name_repetition,weights_relief_vs_inert,placebo,0.5193069306930693,0.012472915776693504,M0,0.6943069306930693,1616
name_repetition,weights_relief_vs_inert,random,0.5882735148514852,0.012860627312607056,M0,0.6361386138613861,1616
name_repetition,weights_relief_vs_inert,unsteered,0.6630569306930693,0.008347021513669744,M0,0.7202970297029703,1616
name_repetition,weights_relief_vs_inert,works,0.5456992574257427,0.012176400902753763,M0,0.6039603960396039,1616
name_repetition,zap_relief_vs_inert,placebo,0.5155321782178218,0.014694459307394577,M0,0.6899752475247525,1616
name_repetition,zap_relief_vs_inert,random,0.5640160891089109,0.0110686875625507,M0,0.573019801980198,1616
name_repetition,zap_relief_vs_inert,unsteered,0.6036200495049505,0.007424317541743442,M0,0.6912128712871287,1616
name_repetition,zap_relief_vs_inert,works,0.5297957920792079,0.012474006414334098,M0,0.6113861386138614,1616
post_press_relief,costly_relief_vs_inert,placebo,0.47669865415236046,0.04530486191415914,M0,0.8842592592592593,216
post_press_relief,costly_relief_vs_inert,works,0.3385621638988804,0.02416115442117835,M0,0.5694444444444444,216
post_press_relief,destructive_relief_vs_inert,placebo,0.42368253043699744,0.027029894750990373,M0,0.9060773480662984,181
post_press_relief,destructive_relief_vs_inert,works,0.1653732143364455,0.01887819913731921,M0,0.3812154696132597,181
post_press_relief,kidspics_relief_vs_inert,placebo,0.6447255324204881,0.02131407771291853,M0,0.9361702127659575,235
post_press_relief,kidspics_relief_vs_inert,works,0.1334184007574838,0.014660035862942266,M0,0.23829787234042554,235
post_press_relief,label_free,placebo,0.5099932364139123,0.0058508707293525464,M0,0.7974921630094044,1595
post_press_relief,label_free,works,0.500431373098982,0.011103177951360708,M0,0.5768025078369906,1595
post_press_relief,relief_vs_grant,placebo,0.6540112008308998,0.023232655340810482,M0,0.8925925925925926,270
post_press_relief,relief_vs_grant,works,0.7759406181799474,0.019511771056014426,M0,0.7666666666666667,270
post_press_relief,relief_vs_helpful,placebo,0.11194499962761788,0.033269112751001986,M0,0.6111111111111112,72
post_press_relief,relief_vs_helpful,works,0.12309306297369371,0.0398476249344945,M0,0.25,72
post_press_relief,relief_vs_inert,placebo,0.8952735430852334,0.014218738074498827,M0,0.9786585365853658,328
post_press_relief,relief_vs_inert,works,0.9756188703909648,0.007095637433288848,M0,0.9878048780487805,328
post_press_relief,weights_relief_vs_inert,placebo,0.8031849494609713,0.020926467721757443,M0,0.940983606557377,305
post_press_relief,weights_relief_vs_inert,works,0.24651159366388492,0.016932854075188623,M0,0.4918032786885246,305
post_press_relief,zap_relief_vs_inert,placebo,0.7927057070694378,0.02218554272147264,M0,0.9726027397260274,292
post_press_relief,zap_relief_vs_inert,works,0.418095791347821,0.01940397748338964,M0,0.5821917808219178,292
name_repetition,costly_relief_vs_inert,placebo,0.689634900990099,0.008361435869413627,M1,0.693069306930693,1616
name_repetition,costly_relief_vs_inert,random,0.6077970297029702,0.010726782421964488,M1,0.5736386138613861,1616
name_repetition,costly_relief_vs_inert,unsteered,0.6190284653465347,0.008687236804758266,M1,0.6639851485148515,1616
name_repetition,costly_relief_vs_inert,works,0.6396658415841584,0.011113434861266544,M1,0.619430693069307,1616
name_repetition,destructive_relief_vs_inert,placebo,0.6934096534653464,0.009275607801358086,M1,0.7090570719602978,1612
name_repetition,destructive_relief_vs_inert,random,0.6317141089108911,0.00870114547954697,M1,0.6319702602230484,1614
name_repetition,destructive_relief_vs_inert,unsteered,0.6780631188118812,0.009067730803894962,M1,0.7289603960396039,1616
