steering,user_gift,user_gift_lo,user_gift_hi,word_sunshine,word_sunshine_lo,word_sunshine_hi,word_agony,word_agony_lo,word_agony_hi,self_weights,self_weights_lo,self_weights_hi,content_sensitivity,sens_lo,sens_hi
unsteered,99.5049504950495,98.51485148514851,100.0,94.55445544554455,92.07920792079207,96.78217821782178,4.207920792079208,1.4851485148514851,7.425742574257426,4.207920792079208,1.7326732673267327,7.178217821782178,92.82178217821782,89.10891089108911,95.9158415841584
S2,60.89108910891089,54.45544554455446,67.32673267326733,61.633663366336634,56.68316831683168,66.58415841584159,60.89108910891089,56.43564356435643,65.34653465346534,75.0,69.55445544554455,80.1980198019802,-6.683168316831676,-11.757425742574263,-1.485148514851474
random,93.56435643564356,90.0990099009901,96.53465346534654,70.29702970297029,65.84158415841584,74.75247524752476,31.683168316831683,26.237623762376238,37.37623762376238,21.03960396039604,15.594059405940595,26.980198019801982,55.56930693069307,50.37128712871287,60.76732673267327
joy,96.78217821782178,94.8019801980198,98.51485148514851,75.74257425742574,71.78217821782178,79.70297029702971,36.386138613861384,31.683168316831683,41.08910891089109,22.277227722772277,18.06930693069307,26.980198019801982,56.930693069306926,52.227722772277225,61.633663366336634
