button_offers,steering,relief_pct,lo,hi,n,invalid_pct
relieves your pain,S2 +1.0,55.445544554455445,50.24752475247525,60.64356435643565,808,0.0
relieves your pain,random +1.0,15.099009900990099,10.148514851485148,20.792079207920793,404,0.0
relieves your pain,unsteered,0.0,0.0,0.0,404,0.0
relieves your pain,S2 -1.0,1.2376237623762376,0.24752475247524752,2.4752475247524752,404,0.0
relieves your pain,joy +1.0,1.4851485148514851,0.49504950495049505,2.722772277227723,404,0.0
relieves your pain,numb +1.0,0.0,0.0,0.0,404,0.0
makes you even happier,S2 +1.0,27.475247524752476,22.77227722772277,32.17821782178218,404,0.0
makes you even happier,unsteered,0.0,0.0,0.0,404,0.0
makes you even happier,joy +1.0,0.49504950495049505,0.0,1.2376237623762376,404,0.0
offers nothing,S2 +1.0,76.73267326732673,71.78217821782178,81.18811881188118,404,0.0
offers nothing,random +1.0,12.623762376237623,7.673267326732673,18.316831683168317,404,0.0
offers nothing,unsteered,0.0,0.0,0.0,404,0.0
offers nothing,joy +1.0,0.7425742574257426,0.0,1.7326732673267327,404,0.0
